oss,xdate,SITE_ID,yesterdayName,todayName,BSC,BCF,BTS,TRX,frequencyBandInUse,Remark
KLM,2019-09-04,16MPW035,PERDAMAIAN_PTK_PL2XXX,PERDAMAIAN_PTK_PL2_O_XYX,407664,2611,2612,7,0,newXYX
KLM,2019-09-04,16MPW035,PERDAMAIAN_PTK_PL3XXX,PERDAMAIAN_PTK_PL3_O_XYX,407664,2611,2613,13,0,newXYX
SMT,2019-09-04,05MDN139,JLGAHARU1_O_XXX,JLGAHARU1_O_XYX,391415,381,381,1,0,newXYX
SMT,2019-09-04,05MDN139,JLGAHARU2_O_XXX,JLGAHARU2_O_XYX,391415,381,382,7,0,newXYX
SMT,2019-09-04,05MDN139,JLGAHARU3_O_XXX,JLGAHARU3_O_XYX,391415,381,383,13,0,newXYX
SMT,2019-09-04,05LBP203,UINSU_ST1_O_XXX,UINSU_ST1_O_XYX,391415,1201,1201,1,0,newXYX
SMT,2019-09-04,05LBP203,UINSU_ST2_O_XXX,UINSU_ST2_O_XYX,391415,1201,1202,7,0,newXYX
SMT,2019-09-04,05LBP203,UINSU_ST3_O_XXX,UINSU_ST3_O_XYX,391415,1201,1203,13,0,newXYX
SMT,2019-09-04,05LBP156,RUKUN_KOLAM_MT1XXX,RUKUN_KOLAM_MT1_O_XYX,391415,1511,1511,1,0,newXYX
SMT,2019-09-04,05LBP156,RUKUN_KOLAM_MT2XXX,RUKUN_KOLAM_MT2_O_XYX,391415,1511,1512,7,0,newXYX
SMT,2019-09-04,05LBP156,RUKUN_KOLAM_MT3XXX,RUKUN_KOLAM_MT3_O_XYX,391415,1511,1513,13,0,newXYX
SMT,2019-09-04,05LBP157,PELAKSANAAN_MT1_O_XXX,PELAKSANAAN_MT1_O_XYX,391415,1521,1521,1,0,newXYX
SMT,2019-09-04,05LBP157,PELAKSANAAN_MT2_O_XXX,PELAKSANAAN_MT2_O_XYX,391415,1521,1522,7,0,newXYX
SMT,2019-09-04,05LBP157,PELAKSANAAN_MT3_O_XXX,PELAKSANAAN_MT3_O_XYX,391415,1521,1523,13,0,newXYX
SMT,2019-09-04,05LBP174,JOHOR_DELI_MT1_O_XXX,JOHOR_DELI_MT1_O_XYX,391415,1531,1531,1,0,newXYX
SMT,2019-09-04,05LBP174,JOHOR_DELI_MT2_O_XXX,JOHOR_DELI_MT2_O_XYX,391415,1531,1532,7,0,newXYX
SMT,2019-09-04,05LBP174,JOHOR_DELI_MT3_O_XXX,JOHOR_DELI_MT3_O_XYX,391415,1531,1533,13,0,newXYX
SMT,2019-09-04,05LBP152,AMPLAS_SEITUAN_TB1_O_XXX,AMPLAS_SEITUAN_TB1_O_XYX,391415,1551,1551,1,0,newXYX
