oss,xdate,SITE_ID,name,BSC,BCF,BTS,TRX,frequencyBandInUse,Remark
SS,2019-09-03,13TJK086,D_JL_PURNAWIRAWAN_CM2_XYX,407671,2201,2205,26,1,Missing
SS,2019-09-03,13TJK086,D_JL_PURNAWIRAWAN_CM2_XYX,407671,2201,2205,27,1,Missing
SS,2019-09-03,13TJK086,D_JL_PURNAWIRAWAN_CM3_XYX,407671,2201,2206,31,1,Missing
SS,2019-09-03,13TJK086,D_JL_PURNAWIRAWAN_CM3_XYX,407671,2201,2206,32,1,Missing
SS,2019-09-03,13TJK086,D_JL_PURNAWIRAWAN_CM3_XYX,407671,2201,2206,33,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL1_XYX,407671,2211,2214,19,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL1_XYX,407671,2211,2214,20,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL1_XYX,407671,2211,2214,21,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL2_XYX,407671,2211,2215,25,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL2_XYX,407671,2211,2215,26,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL2_XYX,407671,2211,2215,27,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL3_XYX,407671,2211,2216,31,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL3_XYX,407671,2211,2216,32,1,Missing
SS,2019-09-03,13TJK087,D_JL_NANGKA_PL3_XYX,407671,2211,2216,33,1,Missing
SS,2019-09-03,13TJK090,D_JL_GAJAHMADA_CM1_XYX,407671,2241,2244,19,1,Missing
SS,2019-09-03,13TJK090,D_JL_GAJAHMADA_CM2_XYX,407671,2241,2245,25,1,Missing
SS,2019-09-03,13TJK090,D_JL_GAJAHMADA_CM3_XYX,407671,2241,2246,31,1,Missing
SS,2019-09-03,13TJK106,D_JL_P_SEBESI_PL_1_XYX,407671,2401,2404,19,1,Missing
SS,2019-09-03,13TJK106,D_JL_P_SEBESI_PL_2_XYX,407671,2401,2405,25,1,Missing
SS,2019-09-03,13TJK106,D_JL_P_SEBESI_PL_3_XYX,407671,2401,2406,31,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL1,407671,2561,2564,19,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL1,407671,2561,2564,20,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL1,407671,2561,2564,21,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL2,407671,2561,2565,25,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL2,407671,2561,2565,26,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL2,407671,2561,2565,27,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL3,407671,2561,2566,31,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL3,407671,2561,2566,32,1,Missing
SS,2019-09-03,13TJK196,D_PATRIA_CINDE_TJK_PL3,407671,2561,2566,33,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH1_O_XXX,407671,2621,2624,19,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH1_O_XXX,407671,2621,2624,20,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH1_O_XXX,407671,2621,2624,21,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH2_O_XXX,407671,2621,2625,25,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH2_O_XXX,407671,2621,2625,26,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH2_O_XXX,407671,2621,2625,27,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH3_O_XXX,407671,2621,2626,31,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH3_O_XXX,407671,2621,2626,32,1,Missing
SS,2019-09-03,13TJK209,D_SUKARAME_TJK_GH3_O_XXX,407671,2621,2626,33,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL1,407671,2631,2634,19,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL1,407671,2631,2634,20,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL1,407671,2631,2634,21,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL2,407671,2631,2635,25,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL2,407671,2631,2635,26,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL2,407671,2631,2635,27,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL3,407671,2631,2636,31,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL3,407671,2631,2636,32,1,Missing
SS,2019-09-03,13TJK190,D_SUKAMENANTI_TJK_PL3,407671,2631,2636,33,1,Missing
